component,block/epoch,name,timestamp,date,description
beacon,1,beacon_genesis,1606824028,2020-12-01T12:00:35,The Beacon Chain needed 16384 deposits of 32 staked ETH to ship securely. This happened on November 27&#44; meaning the Beacon Chain started producing blocks on December 1&#44; 2020. This is an important first step in achieving the Ethereum vision.
beacon,74240,altair,1635332183,2021-10-27T10:56:23,The Altair upgrade was the first scheduled upgrade for the Beacon Chain. It added support for sync committees—enabling light clients&#44; and increased validator inactivity and slashing penalties as development progressed towards The Merge.
beacon,144896,bellatrix,1662464087,2022-09-06T11:34:47,The Bellatrix upgrade was the second scheduled upgrade for the Beacon Chain&#44; preparing the chain for The Merge. It brings validator penalties to their full values for inactivity and slashable offenses. Bellatrix also includes an update to the fork choice rules to prepare the chain for The Merge and the transition from the last proof-of-work block to the first proof-of-stake block. This includes making consensus clients aware of the terminal total difficulty of 58750000000000000000000.
beacon,194048,capella,1681338455,2023-04-12T22:27:35,The Capella upgrade was the third major upgrade to the consensus layer (Beacon Chain) and enabled staking withdrawals. Capella occurred synchronously with the execution layer upgrade&#44; Shanghai&#44; and enabled staking withdrawal functionality. This consensus layer upgrade brought the ability for stakers who did not provide withdrawal credentials with their initial deposit to do so&#44; thereby enabling withdrawals. The upgrade also provided automatic account sweeping functionality&#44; which continuously processes validator accounts for any available rewards payments or full withdrawals.
execution,-3,whitepaper,1385553600,2013-11-27T12:00:00,The start of it all.
execution,-2,yellowpaper,1396353600,2014-04-01T12:00:00,The Yellow Paper&#44; authored by Dr. Gavin Wood&#44; is a technical definition of the Ethereum protocol.
execution,-1,ether_sale,1406030400,2014-07-22T12:00:00,Ether officially went on sale for 42 days. You could buy it with BTC.
execution,0,frontier,1438269975,2015-07-30T15:26:15,Frontier was a live&#44; but barebone implementation of the Ethereum project. It followed the successful Olympic testing phase. It was intended for technical users&#44; specifically developers. Blocks had a gas limit of 5&#44;000. This ‘thawing’ period enabled miners to start their operations and for early adopters to install their clients without having to ‘rush’.
execution,46147,firstTrans,1438918233,2015-08-07T03:30:33,The block containing the first transaction on the Ethereum Mainnet blockchain.
execution,50111,firstContract,1438984075,2015-08-07T21:47:55,The block containing the first contract on the Ethereum Mainnet blockchain.
execution,52029,firstLog,1439014975,2015-08-08 06:22:55,The block containing the first log generated on the Ethereum Mainnet blockchain.
execution,200000,iceage,1441661589,2015-09-07T21:33:09,The frontier thawing fork lifted the 5&#44;000 gas limit per block and set the default gas price to 51 gwei. This allowed for transactions – transactions require 21&#44;000 gas. The difficulty bomb was introduced to ensure a future hard-fork to proof-of-stake.
execution,543626,devcon1,1447577992,2015-11-15T08:59:52,The first Ethereum developer conference.
execution,1150000,homestead,1457981393,2016-03-14T18:49:53,The Homestead fork that looked to the future. It included several protocol changes and a networking change that gave Ethereum the ability to do further network upgrades.
execution,1428756,daofund,1461980573,2016-04-30T01:42:53,The first block people were able to fund the infamous DAO.
execution,1718497,daohack,1466134488,2016-06-17T03:34:48,The first blocks of the DAO hack.
execution,1920000,daofork,1469020840,2016-07-20T13:20:40,The DAO fork was in response to the 2016 DAO attack where an insecure DAO contract was drained of over 3.6 million ETH in a hack. The fork moved the funds from the faulty contract to a new contract with a single function: withdraw. Anyone who lost funds could withdraw 1 ETH for every 100 DAO tokens in their wallets. This course of action was voted on by the Ethereum community. Any ETH holder was able to vote via a transaction on a voting platform. The decision to fork reached over 85% of the votes. Some miners refused to fork because the DAO incident wasn't a defect in the protocol. They went on to form Ethereum Classic.
execution,2286910,devcon2,1474275599,2016-09-19T08:59:59,The second Ethereum developer conference.
execution,2463000,tangerine_whistle,1476796771,2016-10-18T13:19:31,The Tangerine Whistle fork was the first response to the denial of service (DoS) attacks on the network (September/October 2016) including: addressing urgent network health issues concerning underpriced operation codes.
execution,2675000,spurious_dragon,1479831344,2016-11-22T16:15:44,The Spurious Dragon fork was the second response to the denial of service (DoS) attacks on the network (September/October 2016) including: tuning opcode pricing to prevent future attacks on the network. enabling “debloat” of the blockchain state. adding replay attack protection.
execution,2717576,stateclear,1480448309,2016-11-29T19:38:29,The block of the state clearing soft fork.
execution,3265360,eea,1488272400,2017-02-28T09:00:00,The establishment of the Ethereum Enterprise Association.
execution,3327417,ens2,1489165544,2017-03-10T17:05:44,The second ENS deployment of ENS.
execution,4041179,parityhack1,1500417203,2017-07-18T22:33:23,The block of the first Parity hack.
execution,4370000,byzantium,1508131331,2017-10-16T05:22:11,The Byzantium fork: Reduced block mining rewards from 5 to 3 ETH. Delayed the difficulty bomb by a year. Added ability to make non-state-changing calls to other contracts. Added certain cryptography methods to allow for layer 2 scaling.
execution,4469339,devcon3,1509526798,2017-11-01T08:59:58,The third Ethereum developer conference.
execution,4501969,parityhack2,1509981921,2017-11-06T15:25:21,The block of the second Parity hack.
execution,4605167,kitties,1511415679,2017-11-23T05:41:19,The block of the CryptoKitties contract.
execution,4620855,makerdao,1511634257,2017-11-25T18:24:17,The block when MakerDAO was deployed.
execution,6610517,devcon4,1540890000,2018-10-30T09:00:00,The fourth Ethereum developer conference.
execution,6627917,uniswap,1541137042,2018-11-02T05:37:22,The block when Uniswap was deployed.
execution,7280000,constantinople,1551383524,2019-02-28T19:52:04,The Constantinople fork: Ensured the blockchain didn't freeze before proof-of-stake was implemented. Optimised the gas cost of certain actions in the EVM. Added the ability to interact with addresses that haven't been created yet.
execution,8700401,devcon5,1570525179,2019-10-08T08:59:39,The fifth Ethereum developer conference.
execution,8928158,mcdai,1573672677,2019-11-13T19:17:57,The block when Multi-Collateral Dai was deployed.
execution,9069000,istanbul,1575764709,2019-12-08T00:25:09,The Istanbul fork: Optimised the gas cost of certain actions in the EVM. Improved denial-of-service attack resilience. Made Layer 2 scaling solutions based on SNARKs and STARKs more performant. Enabled Ethereum and Zcash to interoperate. Allowed contracts to introduce more creative functions.
execution,9200000,muir_glacier,1577953849,2020-01-02T08:30:49,The Muir Glacier fork introduced a delay to the difficulty bomb. Increases in block difficulty of the proof-of-work consensus mechanism threatened to degrade the usability of Ethereum by increasing wait times for sending transactions and using dapps.
execution,11052984,deposit_contract,1602667372,2020-10-14T09:22:52,The staking deposit contract introduced staking to the Ethereum ecosystem. Although a Mainnet contract&#44; it had a direct impact on the timeline for launching the Beacon Chain&#44; an important Ethereum upgrade.
execution,12244000,berlin,1618481223,2021-04-15T10:07:03,The Berlin upgrade optimized gas cost for certain EVM actions&#44; and increases support for multiple transaction types.
execution,12965000,london,1628166822,2021-08-05T12:33:42,The London upgrade introduced EIP-1559 &#44; which reformed the transaction fee market&#44; along with changes to how gas refunds are handled and the Ice Age schedule.
execution,13773000,arrow_glacier,1639079723,2021-12-09T19:55:23,The Arrow Glacier network upgrade pushed back the difficulty bomb by several months. This is the only change introduced in this upgrade&#44; and is similar in nature to the Muir Glacier upgrade. Similar changes have been performed on the Byzantium&#44; Constantinople and London network upgrades.
